parameter_index,value
0,2.6830000000e+00
1,-2.6830000000e-06
2,1.6661430000e-03
3,4.5049984700e-01
4,8.0580743485e-02
5,1.6016661430e-06
6,8.0166418813e-02
7,-1.5295001530e-06
8,-2.7956040499e-04
9,4.3301346775e-03
10,2.3000000000e+00
11,4.6000000000e-05
12,7.0863000000e-03
13,2.3686780000e-01
14,3.5934960141e-02
15,2.3182740000e-06
16,3.4327418171e-02
17,-4.1873560000e-06
18,-1.5545596918e-03
19,4.3742038103e-03
20,1.8620000000e+00
21,1.3199718000e-02
22,1.2196100000e-03
23,-3.0749068000e-02
24,5.7047589535e-03
25,-2.1345815290e-05
26,5.3051429099e-03
27,5.7473014305e-04
28,-1.3149360460e-05
29,2.7620516455e-03
30,1.2340000000e+00
31,-9.6646880000e-03
32,5.1939060000e-03
33,9.0578068000e-02
34,1.0566402498e-02
35,8.7428671792e-05
36,9.8111851838e-03
37,5.3985742858e-04
38,-8.4783308821e-04
39,1.9813349868e-03
40,1.3280000000e+00
41,3.5590400000e-04
42,-1.9588000000e-03
43,-1.1174190400e-01
44,1.2248128258e-02
45,-1.2235041600e-05
46,1.1612744411e-02
47,4.9436830272e-05
48,-1.8615930840e-04
49,1.8541846123e-03
50,9.3000000000e-01
51,4.8099600000e-03
52,-5.7102000000e-04
53,5.1150000000e-05
54,7.2309341953e-04
55,4.8133154400e-06
56,9.0354992637e-04
57,-1.4945478000e-06
58,6.0140610000e-07
59,9.5460771940e-04
60,3.3200000000e-01
61,-9.0171200000e-04
62,1.0292000000e-05
63,1.8254356000e-02
64,1.5258895750e-03
65,2.2795307200e-07
66,1.8010683057e-03
67,8.7658830896e-05
68,4.1411496400e-07
69,4.6334936884e-04
