time,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.001000,-0.262077,-0.958759,-0.056956,1.424528,0.102927,-0.478459,0.199053,0.000000,0.000000,-0.001047,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-1.103046,-0.002017,-0.000276,-0.000005,-0.779373,2.801186,-17.385113,-2.268061,-5.822340,0.051844,-0.413038,0.000684
0.011000,-0.261999,-0.958618,-0.056844,1.424584,0.102870,-0.478654,0.198711,0.051487,0.085521,0.070162,0.035605,-0.034558,-0.130900,-0.216770,17.893006,23.783452,18.996267,12.472136,-8.985183,-46.805234,-61.780285,4.299386,-15.006889,-1.242197,-5.491825,0.040733,-0.770478,-0.269226
0.021000,-0.261400,-0.957761,-0.056084,1.424908,0.102424,-0.480279,0.196252,0.043633,0.049742,0.055501,0.016755,-0.038746,-0.124617,0.012566,-4.560542,-8.505005,-3.024570,-3.902278,1.297652,14.312640,117.597108,1.060035,-11.316541,-3.112889,-3.328457,-0.081490,-0.781309,0.249832
0.031000,-0.261094,-0.957452,-0.055736,1.425026,0.102109,-0.481210,0.196653,0.014835,0.020071,0.016755,0.008378,-0.021991,-0.059690,-0.064926,-2.646418,-1.716777,-3.726575,-2.354975,1.863023,5.281879,-18.975643,4.947257,-18.451213,-1.634439,-6.513416,-0.003712,-0.867961,-0.113509
0.041000,-0.260996,-0.957271,-0.055628,1.425106,0.101938,-0.481664,0.195100,0.006981,0.016581,0.007330,0.005236,-0.012566,-0.032463,-0.229336,-0.740875,-0.651463,0.518956,-0.813246,-0.851627,2.293812,-5.389370,1.788889,-21.936541,-3.354269,-8.256129,-0.092601,-0.954613,-0.134271
0.051000,-0.260949,-0.957130,-0.055585,1.425140,0.101840,-0.481933,0.192469,0.001745,0.009599,0.000000,-0.001047,-0.008378,-0.020944,-0.305782,-0.105391,-0.886358,-0.032765,-1.717226,-1.556598,0.926086,-25.586480,3.772992,-19.476310,-1.212025,-6.303088,-0.014823,-0.792141,-0.227702
0.061000,-0.260928,-0.957073,-0.055574,1.425123,0.101765,-0.482101,0.189297,0.001745,0.000000,0.000000,-0.001047,-0.005236,-0.011519,-0.357094,0.000004,-0.963789,-0.886737,0.109027,0.260513,-0.421652,-33.338522,2.963154,-14.268819,-2.569785,-4.981030,-0.059267,-0.694657,-0.155034
0.071000,-0.260919,-0.957075,-0.055564,1.425098,0.101701,-0.482204,0.185896,0.000000,0.000000,0.000000,-0.002094,-0.006283,-0.007330,-0.329867,-0.012480,0.000032,-0.000050,0.003751,-0.333710,0.815183,29.168788,3.044138,-17.016078,-2.328406,-4.770702,-0.025934,-0.781309,-0.175796
0.081000,-0.260912,-0.957055,-0.055563,1.425097,0.101647,-0.482276,0.182357,0.000000,0.003491,0.000000,0.001047,-0.005236,-0.005236,-0.380133,-0.738884,0.115921,0.886660,0.017069,-0.195608,-0.533352,-23.465673,3.125121,-20.542410,-2.117198,-7.625147,-0.114823,-0.878793,-0.155034
0.091000,-0.260903,-0.957006,-0.055565,1.425101,0.101603,-0.482332,0.178773,0.000000,0.004363,0.000000,-0.001047,-0.004189,-0.004189,-0.359189,-0.663404,-0.752610,-0.107005,-0.903421,0.012398,0.137031,-7.674867,3.246597,-20.583414,-1.905991,-7.114352,-0.048156,-0.824635,-0.134271
0.101000,-0.260899,-0.956983,-0.055567,1.425084,0.101563,-0.482385,0.175113,0.000873,-0.000873,0.000000,-0.003142,-0.003142,-0.005236,-0.345575,0.663671,-0.768997,-0.000282,-0.893083,-0.672358,-0.767247,29.299436,2.396267,-15.703954,-2.237888,-5.191357,-0.081490,-0.770478,-0.134271
0.111000,-0.260894,-0.957012,-0.055577,1.425040,0.101525,-0.482436,0.171412,0.000000,-0.003491,-0.001047,-0.002094,-0.004189,-0.005236,-0.373850,-0.000000,0.647493,0.106972,1.027495,-0.901076,-0.903371,3.601374,3.003646,-13.243722,-1.513750,-4.440188,-0.037045,-0.705488,-0.175796
0.121000,-0.260891,-0.957052,-0.055580,1.425010,0.101487,-0.482483,0.167700,0.000000,-0.002618,0.000000,0.000000,-0.003142,-0.005236,-0.398982,-0.663403,0.014234,0.000000,1.119773,-0.762659,-0.901360,-31.122913,2.760694,-16.483028,-2.358578,-5.491825,-0.037045,-0.759646,-0.134271
0.131000,-0.260892,-0.957059,-0.055586,1.425006,0.101450,-0.482529,0.163977,0.000000,0.000873,0.000000,0.000000,-0.003142,-0.005236,-0.385369,-0.000000,0.752851,0.014416,-0.016433,0.092322,-0.919848,-23.187596,3.084630,-19.107275,-2.207716,-6.513416,-0.014823,-0.857130,-0.144652
0.141000,-0.260892,-0.957047,-0.055584,1.425005,0.101414,-0.482573,0.160228,0.000000,0.000873,0.000000,0.000000,-0.002094,-0.004189,-0.357094,0.089175,0.000004,-0.000005,-0.121741,0.888723,0.010305,19.253752,3.530040,-19.230286,-2.298233,-6.363182,-0.048156,-0.889624,-0.134271
0.151000,-0.260895,-0.957042,-0.055592,1.424991,0.101378,-0.482617,0.156463,0.000000,0.000000,0.000000,-0.002094,-0.002094,-0.004189,-0.353953,0.000004,-0.000032,0.017025,0.655049,0.230811,-0.980948,34.731785,2.882170,-16.688047,-2.328406,-5.371638,-0.014823,-0.824635,-0.144652
0.161000,-0.260897,-0.957049,-0.055597,1.424967,0.101342,-0.482661,0.152673,0.000000,0.000000,-0.001047,-0.002094,-0.003142,-0.004189,-0.375944,0.000000,0.740569,-0.901397,-0.777633,-0.014726,-1.466474,14.156177,3.449057,-17.139089,-2.237888,-5.491825,-0.081490,-0.737983,-0.134271
0.171000,-0.260899,-0.957047,-0.055602,1.424957,0.101307,-0.482702,0.148886,0.000000,0.000000,0.000000,0.000000,-0.002094,-0.003142,-0.393746,0.000000,0.000000,0.107010,0.808803,0.995417,0.029109,-15.850336,2.963154,-18.779244,-2.479268,-6.453322,-0.081490,-0.878793,-0.134271
0.181000,-0.260900,-0.957042,-0.055611,1.424953,0.101274,-0.482738,0.145078,0.000000,0.000000,-0.001047,-0.001047,-0.003142,-0.003142,-0.412596,0.000000,-0.089176,-0.779412,-0.901316,-0.000244,-0.685349,-40.880965,2.963154,-18.861252,-2.117198,-6.513416,-0.081490,-0.824635,-0.155034
0.191000,-0.260900,-0.957042,-0.055622,1.424941,0.101246,-0.482767,0.141652,0.000000,-0.000873,0.000000,-0.001047,-0.003142,-0.004189,-0.357094,0.000000,-0.103368,0.779412,1.663690,-0.105309,-1.885983,35.811690,2.963154,-16.852062,-2.207716,-5.912480,-0.059267,-0.835467,-0.134271
0.201000,-0.260899,-0.957056,-0.055632,1.424913,0.101213,-0.482798,0.137823,0.000000,-0.001745,0.000000,-0.003142,-0.003142,-0.002094,-0.363378,0.000000,-0.663635,0.903100,-0.121709,-0.000001,-0.075047,31.264356,2.720202,-14.801869,-2.147371,-4.920936,-0.048156,-0.824635,-0.113509
0.211000,-0.260899,-0.957081,-0.055645,1.424885,0.101181,-0.482831,0.133993,0.000000,-0.001745,0.000000,-0.001047,-0.003142,-0.002094,-0.371755,-0.089175,0.089406,1.695420,0.246060,-0.107012,1.653163,19.201320,2.841678,-16.113993,-2.026681,-5.461778,-0.037045,-0.835467,-0.144652
0.221000,-0.260897,-0.957094,-0.055655,1.424873,0.101151,-0.482862,0.130147,0.000000,0.000000,0.000000,0.000000,-0.003142,-0.000000,-0.386416,-0.000231,0.014194,0.014737,0.916048,-0.903376,0.843349,2.488499,2.882170,-17.631136,-2.056854,-6.273042,-0.014823,-0.889624,-0.165415
