parameter_index,value
0,2.6830000000e+00
1,5.0835686449e-02
2,2.0881822511e-02
3,4.5049984700e-01
4,8.0580743485e-02
5,1.6016661430e-06
6,8.0166418813e-02
7,-1.5295001530e-06
8,-2.7956040499e-04
9,-2.1932958875e-02
10,2.3000000000e+00
11,-5.3713281191e-02
12,2.6301979511e-02
13,2.4799860202e-01
14,1.2528644350e-02
15,4.1970386560e-03
16,-3.7168844486e-02
17,-1.5746132914e-02
18,4.7506942929e-04
19,1.5174260490e-03
20,1.8561380572e+00
21,5.5393772560e-02
22,-2.8545803799e-02
23,-7.9217085244e-02
24,-1.7439977061e-02
25,6.7399972506e-03
26,-6.6452699524e-02
27,2.4057771379e-02
28,7.1460182172e-03
29,2.7061086359e-03
30,1.2285528164e+00
31,7.6011739339e-02
32,-2.4639121229e-02
33,1.2130823474e-01
34,1.8639179895e-02
35,-5.4869080620e-03
36,2.2127105782e-02
37,-3.7467323278e-03
38,-1.7852946543e-03
39,-2.9292121435e-02
40,1.3315495396e+00
41,-3.0013216785e-02
42,8.8539913228e-04
43,-6.9963151434e-02
44,2.1573519649e-02
45,-4.4734726541e-03
46,2.2676051016e-02
47,1.0270294816e-02
48,1.0419661792e-02
49,1.5103838049e-03
50,9.3354953961e-01
51,1.5706518179e-02
52,2.2731791322e-03
53,-6.0541015751e-02
54,5.8616605574e-03
55,-2.6205521201e-03
56,1.3214683263e-02
57,-4.4811588773e-03
58,-1.0718068660e-03
59,4.7976311650e-03
60,3.3554953961e-01
61,9.9948461791e-03
62,4.4186091757e-03
63,5.8077116851e-02
64,-6.5640689993e-03
65,3.4853671715e-03
66,9.1987635880e-03
67,5.2291954897e-04
68,4.4215726397e-03
69,9.2198108690e-03
