parameter_index,value
0,2.6850236165e+00
1,1.4760152448e-03
2,7.6391736378e-05
3,4.2492144401e-01
4,8.0581213327e-02
5,5.2462574559e-07
6,8.0167053964e-02
7,-1.5130882445e-04
8,-1.0499951903e-04
9,-2.2090087117e-06
10,2.3003037977e+00
11,-2.7956249741e-03
12,5.2798030726e-03
13,2.4909952351e-01
14,2.6988394844e-02
15,5.4376561140e-06
16,2.6982793215e-02
17,3.2618709083e-04
18,-6.4856428067e-04
19,1.8548993423e-03
20,1.8637424111e+00
21,1.2973458356e-02
22,1.9161718423e-03
23,-3.7260307218e-02
24,7.4798740048e-04
25,-1.3338791315e-05
26,8.3631403647e-04
27,2.5935795530e-04
28,3.8305811089e-05
29,9.3297401499e-05
30,1.2358131774e+00
31,-8.7505786790e-03
32,5.6187348666e-03
33,9.7252872174e-02
34,7.6799758269e-03
35,3.9784920345e-05
36,7.7165401737e-03
37,6.8863075033e-04
38,-4.4217353632e-04
39,8.8511727537e-05
40,1.3267948130e+00
41,8.0753756372e-04
42,-2.2071225766e-03
43,-1.3518369719e-01
44,1.3778293815e-02
45,1.3472573132e-06
46,1.3775087958e-02
47,8.2281312087e-05
48,-2.2487727954e-04
49,5.1780575482e-06
50,9.2826366459e-01
51,5.1943439663e-03
52,-9.2580742482e-04
53,-1.1474796433e-02
54,1.4380294489e-04
55,5.1842596796e-06
56,1.7196431327e-04
57,6.4210919692e-05
58,-1.1443016864e-05
59,3.1018880356e-05
60,3.3027008461e-01
61,7.6719952290e-05
62,-2.4837736663e-03
63,6.0611954384e-03
64,1.3095411991e-04
65,5.7759613005e-07
66,1.1228963016e-04
67,-1.4124150060e-06
68,4.5583015377e-05
69,1.9722407628e-05
