sample_idx,tau1_meas,tau1_urdf,err1,tau2_meas,tau2_urdf,err2,tau3_meas,tau3_urdf,err3,tau4_meas,tau4_urdf,err4,tau5_meas,tau5_urdf,err5,tau6_meas,tau6_urdf,err6,tau7_meas,tau7_urdf,err7
0,61.765277,-0.2862525348379024,62.0515295348379,-30.935162,-30.627030405634724,-0.3081315943652747,-0.771159,-0.24439219706830753,-0.5267668029316925,-0.370559,-0.5759858003153249,0.20542680031532484,0.084949,-0.41138752303993975,0.49633652303993975,1.725192,2.34410707161528,-0.61891507161528,-1.351931,-1.3399573002023843,-0.011973699797615645
1,62.370174,-2.6014929325031115,64.97166693250311,-18.772163,-18.533404054465418,-0.2387589455345811,0.451971,-0.16379549629634582,0.6157664962963458,-15.198015,-15.144913323524017,-0.05310167647598263,0.03845,-0.16531399529719587,0.20376399529719585,5.869369,3.4231611231009813,2.4462078768990185,-1.149953,0.022758097776115028,-1.172711097776115
2,62.974678,-2.323229792890264,65.29790779289026,-19.6716,-19.392014221805237,-0.2795857781947646,0.559445,-0.04766032897861966,0.6071053289786197,-14.695112,-14.665130256396612,-0.02998174360338801,0.058314,-0.18242316543863749,0.2407371654386375,6.185881,3.7002441255237835,2.4856368744762167,-0.424349,-0.06553824087461185,-0.3588107591253881
3,63.578711,0.6850211197827842,62.89368988021722,-31.05694,-30.95484150158718,-0.10209849841282193,-0.043824,0.23398296386534329,-0.2778069638653433,-0.29058,-0.6019034267303909,0.3113234267303909,0.120309,-0.16029184102183908,0.2806008410218391,1.464732,2.5023369337647736,-1.0376049337647737,0.232741,-0.2788178770030456,0.5115588770030456
4,64.182327,3.2164689535862143,60.965858046413786,-25.934847,-25.756730667460204,-0.17811633253979764,0.896638,0.9795961586049555,-0.08295815860495548,-3.989572,-3.7128354146267335,-0.2767365853732664,-0.227743,0.2393882600967174,-0.4671312600967174,0.101572,-6.5279923523947545,6.6295643523947545,-0.454248,-0.2868410980981585,-0.1674069019018415
5,64.785728,-2.850869703477794,67.6365977034778,-19.634447,-19.542358091459324,-0.09208890854067775,0.257937,-0.16469859589346525,0.4226355958934653,-14.047621,-14.11140236766894,0.06378136766894116,0.191938,-0.019027454777698447,0.21096545477769846,6.094626,3.8124603326685027,2.282165667331497,-0.988251,0.2170326967286844,-1.2052836967286844
6,65.388621,3.5292772884668815,61.85934371153312,-25.991301,-25.81156432783075,-0.17973667216924838,1.078294,1.1284356952259154,-0.05014169522591527,-3.937607,-3.670525827015677,-0.267081172984323,-0.17577,0.3029610174967559,-0.47873101749675595,0.098975,-6.430202097193435,6.529177097193435,-0.983519,-0.2615672522610625,-0.7219517477389376
7,65.99124,3.8517212720120875,62.13951872798792,-26.314753,-26.136553393334538,-0.17819960666546208,1.267975,1.2140575371028013,0.05391746289719879,-3.68845,-3.4252170974428564,-0.2632329025571436,-0.210388,0.29793910394636525,-0.5083271039463653,-0.001442,-6.331968590104713,6.330526590104713,1.013512,-0.0996914043798484,1.1132034043798484
8,66.593271,4.847686725579258,61.74558427442074,-25.18232,-25.286071397730435,0.10375139773043429,2.172024,1.6189010891063231,0.5531229108936768,-4.54254,-4.365423906367534,-0.17711609363246605,-0.384577,0.4587937615316439,-0.8433707615316439,0.035032,-6.281942729979896,6.316974729979896,0.85399,1.635388962515808,-0.781398962515808
9,67.195043,5.87370263334218,61.32134036665782,-25.589067,-25.581369409233062,-0.0076975907669378785,2.674131,2.0239719205801947,0.6501590794198053,-4.314467,-4.105104013375183,-0.209362986624817,-0.380199,0.44566840774250066,-0.8258674077425007,0.165259,-6.182875531445314,6.3481345314453135,0.702093,1.4390219132399282,-0.7369289132399283
10,67.796474,3.7960381308705595,64.00043586912945,-26.115857,-25.857281027387096,-0.25857597261290266,1.183428,1.112605602082514,0.07082239791748601,-3.454105,-3.1540395810115847,-0.30006541898841554,-0.281321,0.17622834011312036,-0.4575493401131203,0.199566,-6.144827078508721,6.344393078508721,-1.027655,-0.29136541626604157,-0.7362895837339585
11,68.397619,-0.9090574008012844,69.3066764008013,-19.339659,-19.27066154814011,-0.06899745185988948,0.594256,0.4781121316728234,0.1161438683271766,-14.120577,-13.899558923978718,-0.22101807602128254,0.375319,0.6696464630908401,-0.29432746309084007,5.993216,-3.9211813247616396,9.91439732476164,1.00051,-0.21344047783096162,1.2139504778309615
12,68.998013,-2.2515234793742636,71.24953647937426,-20.028298,-19.204423352969496,-0.8238746470305038,0.110685,-0.06315884994639115,0.17384384994639115,-12.342087,-12.089010685597877,-0.2530763144021222,0.010562,-0.6899685154123972,0.7005305154123972,6.497752,4.790032945649486,1.7077190543505143,-1.718022,-2.475522298539251,0.7575002985392509
