parameter_index,value
0,2.6830001899e+00
1,2.2020276212e-02
2,2.6166187088e-03
3,4.5049984700e-01
4,8.0580743485e-02
5,1.6016661430e-06
6,8.0166418813e-02
7,-1.5295001530e-06
8,-2.7956040499e-04
9,4.3301346775e-03
10,2.3000001628e+00
11,-3.9833020348e-02
12,8.0367757088e-03
13,1.0275119551e+00
14,3.5934960141e-02
15,2.3182740000e-06
16,3.4327418171e-02
17,-4.1873560000e-06
18,-1.5545596918e-03
19,4.3742038103e-03
20,1.8647436713e+00
21,1.3914730922e-02
22,4.7880276227e-03
23,-8.0395865823e-01
24,5.7047589535e-03
25,-2.1345815290e-05
26,5.3051429099e-03
27,5.7473014305e-04
28,-1.3149360460e-05
29,2.7620516455e-03
30,1.2367015300e+00
31,-2.6534157788e-03
32,8.3847514822e-03
33,5.6151880557e-01
34,1.0566402498e-02
35,8.7428671792e-05
36,9.8111851838e-03
37,5.3985742858e-04
38,-8.4783308821e-04
39,1.9813349868e-03
40,1.3303997427e+00
41,-1.0756838004e-03
42,-2.4244049102e-03
43,-5.8529720070e-01
44,1.2248128258e-02
45,-1.2235041600e-05
46,1.1612744411e-02
47,4.9436830272e-05
48,-1.8615930840e-04
49,1.8541846123e-03
50,9.3239973258e-01
51,5.2531533895e-03
52,-1.0366249102e-03
53,8.1811944881e-04
54,7.2309341953e-04
55,4.8133154400e-06
56,9.0354992637e-04
57,-1.4945478000e-06
58,6.0140610000e-07
59,9.5460771940e-04
60,3.3439971738e-01
61,-4.5851861054e-04
62,-3.6923184101e-03
63,2.7059516369e-03
64,1.5258895750e-03
65,2.2795307200e-07
66,1.8010683057e-03
67,8.7658830896e-05
68,4.1411496400e-07
69,4.6334936884e-04
