parameter_index,value
0,2.6924096463e+00
1,1.8205934034e-02
2,3.4800649686e-04
3,2.1699828925e-01
4,8.0581042555e-02
5,1.4947095264e-06
6,8.0166415554e-02
7,-1.4399948014e-03
8,-3.2697778338e-05
9,1.3338045595e-04
10,2.3533828102e+00
11,-3.1591216385e-02
12,-2.9188288020e-03
13,7.0533495499e-01
14,2.1140214841e-01
15,-3.9075423126e-05
16,2.1181766419e-01
17,9.4681695285e-03
18,8.7485016929e-04
19,4.2966179664e-04
20,1.8991947506e+00
21,1.5292466170e-02
22,1.3135378566e-03
23,-3.3064796124e-01
24,5.7565848706e-02
25,-1.0656511119e-05
26,5.7689319242e-02
27,2.6625626532e-03
28,2.2867895243e-04
29,1.2586623671e-04
30,1.2831505384e+00
31,-3.8667529620e-03
32,8.5796680119e-03
33,2.7911021789e-01
34,6.0769562911e-02
35,2.5791510295e-05
36,6.0724102924e-02
37,8.4117553482e-04
38,-1.8662563806e-03
39,7.0308404855e-05
40,1.2637559178e+00
41,3.5844223391e-04
42,-1.6067481041e-03
43,-1.7996741546e-01
44,2.5631050307e-02
45,4.9667364869e-07
46,2.5629539279e-02
47,5.2594883753e-05
48,-2.2974756872e-04
49,2.1165996885e-07
50,7.0630602190e-01
51,3.6021509114e-03
52,-1.6997117773e-03
53,-9.2319508321e-03
54,1.2586585977e-04
55,9.8409260819e-06
56,1.4710018465e-04
57,4.8695165332e-05
58,-2.3768912807e-05
59,2.2055746259e-05
60,1.1157681643e-01
61,6.8565842747e-04
62,-2.8869362912e-03
63,2.2831031594e-03
64,1.1527754361e-04
65,1.7211244317e-05
66,5.6972675170e-05
67,-1.0001727489e-05
68,5.8212035323e-05
69,7.9218389504e-05
