time,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090000,0.135000,0.180000,0.250000,0.300000,0.350000,1.570000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.124163,-26.398067,0.038302,-6.873279,-0.024769,-0.176998,-0.001704
0.010000,0.000900,0.001350,0.001800,0.002500,0.003000,0.003500,0.015697,0.090000,0.134999,0.179999,0.249997,0.299995,0.349991,1.569226,-0.000036,-0.000121,-0.000288,-0.000625,-0.001080,-0.001715,-0.154770,0.122320,-26.399633,0.036308,-6.874700,-0.027315,-0.176744,-0.002923
0.020000,0.001800,0.002700,0.003600,0.005000,0.006000,0.007000,0.031379,0.089999,0.134998,0.179994,0.249988,0.299978,0.349966,1.566905,-0.000072,-0.000243,-0.000576,-0.001250,-0.002160,-0.003430,-0.309388,0.120658,-26.401036,0.034425,-6.875935,-0.029849,-0.176434,-0.004098
0.030000,0.002700,0.004050,0.005400,0.007500,0.009000,0.010499,0.047030,0.089998,0.134995,0.179987,0.249972,0.299951,0.349923,1.563039,-0.000108,-0.000364,-0.000864,-0.001875,-0.003240,-0.005145,-0.463701,0.119180,-26.402271,0.032655,-6.876982,-0.032368,-0.176067,-0.005230
0.040000,0.003600,0.005400,0.007200,0.009999,0.011999,0.013998,0.062635,0.089997,0.134990,0.179977,0.249950,0.299914,0.349863,1.557633,-0.000144,-0.000486,-0.001152,-0.002500,-0.004320,-0.006859,-0.617556,0.117889,-26.403334,0.031002,-6.877839,-0.034867,-0.175643,-0.006317
0.050000,0.004500,0.006750,0.008999,0.012499,0.014998,0.017496,0.078178,0.089996,0.134985,0.179964,0.249922,0.299865,0.349786,1.550690,-0.000180,-0.000607,-0.001440,-0.003125,-0.005399,-0.008573,-0.770803,0.116789,-26.404222,0.029469,-6.878507,-0.037343,-0.175163,-0.007359
0.060000,0.005400,0.008100,0.010799,0.014998,0.017996,0.020994,0.093644,0.089994,0.134978,0.179948,0.249888,0.299806,0.349691,1.542219,-0.000216,-0.000729,-0.001728,-0.003749,-0.006479,-0.010287,-0.923290,0.115882,-26.404931,0.028060,-6.878983,-0.039792,-0.174628,-0.008355
0.070000,0.006300,0.009449,0.012598,0.017496,0.020994,0.024490,0.109017,0.089991,0.134970,0.179929,0.249847,0.299735,0.349580,1.532227,-0.000252,-0.000850,-0.002016,-0.004374,-0.007558,-0.012000,-1.074866,0.115172,-26.405457,0.026778,-6.879266,-0.042211,-0.174038,-0.009304
0.080000,0.007200,0.010799,0.014398,0.019995,0.023991,0.027985,0.124283,0.089988,0.134961,0.179908,0.249800,0.299654,0.349451,1.520725,-0.000288,-0.000972,-0.002304,-0.004999,-0.008637,-0.013713,-1.225383,0.114661,-26.405797,0.025626,-6.879356,-0.044597,-0.173396,-0.010208
0.090000,0.008100,0.012149,0.016197,0.022492,0.026987,0.031479,0.139427,0.089985,0.134951,0.179883,0.249747,0.299563,0.349306,1.507724,-0.000324,-0.001093,-0.002591,-0.005623,-0.009715,-0.015425,-1.374692,0.114352,-26.405948,0.024606,-6.879253,-0.046945,-0.172701,-0.011065
0.100000,0.008999,0.013498,0.017995,0.024990,0.029982,0.034971,0.154433,0.089982,0.134939,0.179856,0.249688,0.299460,0.349143,1.493236,-0.000360,-0.001215,-0.002879,-0.006247,-0.010794,-0.017136,-1.522645,0.114247,-26.405907,0.023723,-6.878956,-0.049253,-0.171956,-0.011875
0.110000,0.009899,0.014847,0.019794,0.027486,0.032976,0.038462,0.169287,0.089978,0.134926,0.179826,0.249622,0.299347,0.348963,1.477276,-0.000396,-0.001336,-0.003167,-0.006872,-0.011871,-0.018846,-1.669098,0.114349,-26.405670,0.022977,-6.878465,-0.051517,-0.171161,-0.012640
0.120000,0.010799,0.016197,0.021592,0.029982,0.035969,0.041951,0.183973,0.089974,0.134913,0.179793,0.249550,0.299223,0.348766,1.459860,-0.000432,-0.001458,-0.003455,-0.007496,-0.012949,-0.020556,-1.813904,0.114660,-26.405237,0.022373,-6.877781,-0.053735,-0.170319,-0.013359
0.130000,0.011699,0.017546,0.023389,0.032477,0.038960,0.045437,0.198479,0.089970,0.134897,0.179757,0.249472,0.299088,0.348552,1.441004,-0.000468,-0.001579,-0.003742,-0.008119,-0.014026,-0.022264,-1.956923,0.115183,-26.404604,0.021912,-6.876903,-0.055902,-0.169433,-0.014032
0.140000,0.012598,0.018894,0.025187,0.034971,0.041951,0.048922,0.212789,0.089965,0.134881,0.179718,0.249388,0.298942,0.348321,1.420727,-0.000504,-0.001700,-0.004030,-0.008743,-0.015102,-0.023972,-2.098012,0.115918,-26.403769,0.021597,-6.875833,-0.058017,-0.168503,-0.014662
0.150000,0.013498,0.020243,0.026984,0.037465,0.044939,0.052404,0.226889,0.089960,0.134863,0.179676,0.249297,0.298786,0.348072,1.399050,-0.000540,-0.001822,-0.004317,-0.009366,-0.016178,-0.025678,-2.237033,0.116868,-26.402732,0.021430,-6.874570,-0.060077,-0.167531,-0.015247
0.160000,0.014398,0.021592,0.028780,0.039957,0.047926,0.055883,0.240765,0.089954,0.134845,0.179631,0.249200,0.298619,0.347807,1.375994,-0.000576,-0.001943,-0.004605,-0.009989,-0.017253,-0.027383,-2.373848,0.118035,-26.401491,0.021414,-6.873118,-0.062078,-0.166522,-0.015790
0.170000,0.015297,0.022940,0.030576,0.042449,0.050912,0.059360,0.254404,0.089948,0.134824,0.179584,0.249097,0.298441,0.347525,1.351581,-0.000612,-0.002065,-0.004892,-0.010612,-0.018328,-0.029086,-2.508323,0.119421,-26.400044,0.021550,-6.871476,-0.064018,-0.165476,-0.016291
0.180000,0.016197,0.024288,0.032372,0.044939,0.053895,0.062833,0.267792,0.089942,0.134803,0.179534,0.248988,0.298252,0.347225,1.325836,-0.000648,-0.002186,-0.005180,-0.011235,-0.019402,-0.030788,-2.640326,0.121026,-26.398393,0.021840,-6.869646,-0.065895,-0.164397,-0.016752
0.190000,0.017096,0.025636,0.034167,0.047429,0.056877,0.066304,0.280917,0.089935,0.134781,0.179480,0.248873,0.298053,0.346909,1.298783,-0.000684,-0.002307,-0.005467,-0.011857,-0.020476,-0.032489,-2.769725,0.122852,-26.396536,0.022286,-6.867630,-0.067706,-0.163286,-0.017173
0.200000,0.017995,0.026984,0.035962,0.049917,0.059856,0.069772,0.293764,0.089928,0.134757,0.179424,0.248751,0.297843,0.346576,1.270451,-0.000720,-0.002429,-0.005754,-0.012479,-0.021548,-0.034188,-2.896393,0.124900,-26.394475,0.022890,-6.865430,-0.069449,-0.162148,-0.017557
0.210000,0.018894,0.028331,0.037756,0.052404,0.062833,0.073236,0.306321,0.089921,0.134732,0.179365,0.248623,0.297622,0.346225,1.240865,-0.000756,-0.002550,-0.006041,-0.013101,-0.022620,-0.035885,-3.020206,0.127172,-26.392209,0.023652,-6.863048,-0.071123,-0.160984,-0.017904
0.220000,0.019794,0.029678,0.039549,0.054889,0.065809,0.076696,0.318577,0.089913,0.134706,0.179303,0.248489,0.297390,0.345858,1.210056,-0.000792,-0.002671,-0.006328,-0.013722,-0.023691,-0.037581,-3.141042,0.129668,-26.389739,0.024576,-6.860487,-0.072725,-0.159798,-0.018217
0.230000,0.020693,0.031025,0.041342,0.057373,0.068781,0.080153,0.330519,0.089905,0.134679,0.179239,0.248349,0.297148,0.345474,1.178055,-0.000828,-0.002792,-0.006615,-0.014343,-0.024761,-0.039275,-3.258780,0.132389,-26.387068,0.025660,-6.857748,-0.074253,-0.158591,-0.018498
0.240000,0.021592,0.032372,0.043134,0.059856,0.071751,0.083605,0.342134,0.089896,0.134650,0.179171,0.248202,0.296895,0.345072,1.144891,-0.000864,-0.002913,-0.006901,-0.014964,-0.025831,-0.040967,-3.373306,0.135337,-26.384197,0.026908,-6.854835,-0.075707,-0.157369,-0.018747
0.250000,0.022491,0.033718,0.044925,0.062337,0.074719,0.087054,0.353413,0.089888,0.134620,0.179101,0.248049,0.296631,0.344654,1.110600,-0.000900,-0.003035,-0.007188,-0.015584,-0.026899,-0.042656,-3.484507,0.138511,-26.381127,0.028319,-6.851751,-0.077083,-0.156132,-0.018967
0.260000,0.023389,0.035064,0.046716,0.064817,0.077684,0.090498,0.364343,0.089878,0.134590,0.179027,0.247890,0.296357,0.344219,1.075213,-0.000936,-0.003156,-0.007475,-0.016204,-0.027966,-0.044344,-3.592272,0.141912,-26.377862,0.029895,-6.848498,-0.078382,-0.154884,-0.019161
0.270000,0.024288,0.036410,0.048506,0.067295,0.080646,0.093938,0.374913,0.089869,0.134557,0.178951,0.247725,0.296072,0.343767,1.038766,-0.000972,-0.003277,-0.007761,-0.016824,-0.029033,-0.046030,-3.696495,0.145541,-26.374404,0.031637,-6.845079,-0.079601,-0.153628,-0.019330
0.280000,0.025187,0.037756,0.050295,0.069772,0.083605,0.097374,0.385114,0.089859,0.134524,0.178872,0.247554,0.295776,0.343299,1.001295,-0.001007,-0.003398,-0.008047,-0.017443,-0.030098,-0.047713,-3.797074,0.149398,-26.370756,0.033544,-6.841498,-0.080741,-0.152367,-0.019476
0.290000,0.026085,0.039101,0.052083,0.072246,0.086562,0.100804,0.394936,0.089849,0.134489,0.178790,0.247376,0.295470,0.342813,0.962837,-0.001043,-0.003519,-0.008333,-0.018062,-0.031162,-0.049394,-3.893910,0.153484,-26.366922,0.035618,-6.837758,-0.081798,-0.151104,-0.019602
0.300000,0.026984,0.040445,0.053870,0.074719,0.089515,0.104230,0.404368,0.089838,0.134454,0.178706,0.247193,0.295153,0.342311,0.923430,-0.001079,-0.003640,-0.008619,-0.018680,-0.032225,-0.051073,-3.986907,0.157798,-26.362906,0.037859,-6.833862,-0.082774,-0.149841,-0.019709
0.310000,0.027882,0.041790,0.055657,0.077190,0.092465,0.107650,0.413401,0.089827,0.134417,0.178618,0.247003,0.294826,0.341792,0.883112,-0.001115,-0.003761,-0.008905,-0.019298,-0.033287,-0.052749,-4.075973,0.162341,-26.358710,0.040268,-6.829814,-0.083667,-0.148581,-0.019801
0.320000,0.028780,0.043134,0.057443,0.079659,0.095411,0.111066,0.422027,0.089816,0.134378,0.178527,0.246807,0.294487,0.341256,0.841924,-0.001151,-0.003882,-0.009191,-0.019915,-0.034348,-0.054422,-4.161021,0.167113,-26.354340,0.042843,-6.825617,-0.084477,-0.147327,-0.019880
0.330000,0.029678,0.044477,0.059228,0.082126,0.098354,0.114476,0.430237,0.089804,0.134339,0.178434,0.246605,0.294139,0.340703,0.799905,-0.001187,-0.004003,-0.009476,-0.020532,-0.035408,-0.056093,-4.241967,0.172113,-26.349799,0.045587,-6.821276,-0.085202,-0.146081,-0.019948
0.340000,0.030576,0.045820,0.061012,0.084591,0.101294,0.117880,0.438023,0.089792,0.134298,0.178338,0.246396,0.293779,0.340134,0.757098,-0.001223,-0.004124,-0.009762,-0.021148,-0.036466,-0.057761,-4.318730,0.177343,-26.345092,0.048499,-6.816792,-0.085843,-0.144845,-0.020007
0.350000,0.031474,0.047163,0.062794,0.087054,0.104230,0.121278,0.445377,0.089780,0.134256,0.178239,0.246182,0.293409,0.339548,0.713545,-0.001259,-0.004245,-0.010047,-0.021764,-0.037523,-0.059426,-4.391236,0.182801,-26.340224,0.051578,-6.812170,-0.086400,-0.143623,-0.020060
0.360000,0.032372,0.048506,0.064576,0.089515,0.107162,0.124671,0.452291,0.089767,0.134213,0.178137,0.245961,0.293029,0.338945,0.669288,-0.001295,-0.004366,-0.010332,-0.022379,-0.038578,-0.061089,-4.459412,0.188488,-26.335198,0.054825,-6.807414,-0.086871,-0.142415,-0.020110
0.370000,0.033270,0.049847,0.066357,0.091973,0.110090,0.128057,0.458760,0.089754,0.134169,0.178032,0.245734,0.292638,0.338326,0.624371,-0.001331,-0.004486,-0.010617,-0.022993,-0.039633,-0.062748,-4.523192,0.194403,-26.330021,0.058240,-6.802527,-0.087257,-0.141225,-0.020160
0.380000,0.034167,0.051189,0.068137,0.094429,0.113015,0.131437,0.464777,0.089740,0.134124,0.177925,0.245501,0.292236,0.337691,0.578839,-0.001367,-0.004607,-0.010902,-0.023607,-0.040685,-0.064404,-4.582513,0.200546,-26.324697,0.061823,-6.797512,-0.087558,-0.140054,-0.020211
0.390000,0.035064,0.052530,0.069916,0.096883,0.115935,0.134811,0.470335,0.089726,0.134077,0.177814,0.245262,0.291824,0.337038,0.532736,-0.001403,-0.004728,-0.011186,-0.024221,-0.041737,-0.066057,-4.637316,0.206917,-26.319231,0.065572,-6.792372,-0.087774,-0.138903,-0.020266
0.400000,0.035962,0.053870,0.071693,0.099335,0.118851,0.138178,0.475430,0.089712,0.134029,0.177701,0.245017,0.291401,0.336369,0.486108,-0.001438,-0.004848,-0.011471,-0.024834,-0.042786,-0.067707,-4.687547,0.213515,-26.313627,0.069489,-6.787112,-0.087905,-0.137776,-0.020328
0.410000,0.036859,0.055211,0.073470,0.101784,0.121763,0.141538,0.480056,0.089698,0.133980,0.177585,0.244765,0.290968,0.335684,0.439000,-0.001474,-0.004969,-0.011755,-0.025446,-0.043835,-0.069354,-4.733157,0.220340,-26.307891,0.073572,-6.781734,-0.087951,-0.136672,-0.020399
0.420000,0.037756,0.056550,0.075245,0.104230,0.124671,0.144891,0.484208,0.089683,0.133930,0.177466,0.244508,0.290525,0.334982,0.391460,-0.001510,-0.005090,-0.012039,-0.026057,-0.044881,-0.070997,-4.774100,0.227391,-26.302027,0.077821,-6.776242,-0.087912,-0.135594,-0.020482
0.430000,0.038652,0.057889,0.077019,0.106674,0.127574,0.148238,0.487884,0.089667,0.133878,0.177344,0.244244,0.290071,0.334264,0.343534,-0.001546,-0.005210,-0.012323,-0.026668,-0.045927,-0.072636,-4.810337,0.234668,-26.296040,0.082235,-6.770638,-0.087789,-0.134542,-0.020579
0.440000,0.039549,0.059228,0.078792,0.109115,0.130472,0.151577,0.491078,0.089652,0.133826,0.177219,0.243974,0.289606,0.333530,0.295269,-0.001582,-0.005330,-0.012607,-0.027279,-0.046970,-0.074273,-4.841831,0.242170,-26.289934,0.086815,-6.764925,-0.087581,-0.133518,-0.020692
0.450000,0.040445,0.060566,0.080563,0.111553,0.133366,0.154908,0.493788,0.089636,0.133772,0.177092,0.243699,0.289131,0.332779,0.246713,-0.001618,-0.005451,-0.012890,-0.027888,-0.048012,-0.075905,-4.868552,0.249897,-26.283715,0.091559,-6.759106,-0.087289,-0.132522,-0.020825
0.460000,0.041342,0.061903,0.082334,0.113989,0.136255,0.158232,0.496011,0.089619,0.133717,0.176962,0.243417,0.288646,0.332012,0.197914,-0.001654,-0.005571,-0.013173,-0.028497,-0.049052,-0.077534,-4.890473,0.257847,-26.277385,0.096467,-6.753184,-0.086914,-0.131556,-0.020980
0.470000,0.042238,0.063240,0.084103,0.116421,0.139139,0.161548,0.497746,0.089603,0.133660,0.176828,0.243129,0.288150,0.331228,0.148920,-0.001690,-0.005692,-0.013456,-0.029105,-0.050090,-0.079159,-4.907573,0.266021,-26.270950,0.101538,-6.747162,-0.086455,-0.130619,-0.021158
0.480000,0.043134,0.064576,0.085870,0.118851,0.142018,0.164857,0.498989,0.089586,0.133603,0.176692,0.242834,0.287644,0.330428,0.099779,-0.001725,-0.005812,-0.013739,-0.029713,-0.051126,-0.080780,-4.919834,0.274416,-26.264413,0.106772,-6.741041,-0.085914,-0.129713,-0.021362
0.490000,0.044029,0.065912,0.087636,0.121278,0.144891,0.168157,0.499741,0.089568,0.133544,0.176554,0.242534,0.287128,0.329612,0.050540,-0.001761,-0.005932,-0.014022,-0.030320,-0.052161,-0.082397,-4.927245,0.283033,-26.257778,0.112167,-6.734823,-0.085290,-0.128836,-0.021595
0.500000,0.044925,0.067247,0.089401,0.123702,0.147760,0.171449,0.500000,0.089550,0.133484,0.176412,0.242228,0.286601,0.328780,0.001250,-0.001797,-0.006052,-0.014304,-0.030925,-0.053194,-0.084010,-4.929798,0.291869,-26.251047,0.117723,-6.728511,-0.084584,-0.127990,-0.021858
0.510000,0.045820,0.068582,0.091165,0.126123,0.150623,0.174732,0.499766,0.089532,0.133423,0.176268,0.241916,0.286064,0.327932,-0.048040,-0.001833,-0.006172,-0.014586,-0.031531,-0.054224,-0.085619,-4.927492,0.300925,-26.244224,0.123439,-6.722106,-0.083798,-0.127175,-0.022154
0.520000,0.046716,0.069916,0.092927,0.128540,0.153481,0.178007,0.499039,0.089514,0.133361,0.176120,0.241597,0.285516,0.327068,-0.097283,-0.001869,-0.006292,-0.014868,-0.032135,-0.055253,-0.087224,-4.920327,0.310199,-26.237313,0.129315,-6.715610,-0.082930,-0.126389,-0.022484
0.530000,0.047611,0.071249,0.094687,0.130955,0.156334,0.181274,0.497821,0.089495,0.133297,0.175970,0.241273,0.284959,0.326188,-0.146431,-0.001904,-0.006412,-0.015150,-0.032739,-0.056280,-0.088824,-4.908311,0.319689,-26.230314,0.135348,-6.709024,-0.081982,-0.125632,-0.022851
0.540000,0.048506,0.072582,0.096446,0.133366,0.159180,0.184531,0.496111,0.089476,0.133232,0.175817,0.240943,0.284391,0.325292,-0.195433,-0.001940,-0.006532,-0.015431,-0.033341,-0.057305,-0.090420,-4.891457,0.329395,-26.223230,0.141539,-6.702349,-0.080954,-0.124905,-0.023257
0.550000,0.049400,0.073914,0.098203,0.135773,0.162022,0.187780,0.493912,0.089456,0.133166,0.175662,0.240606,0.283813,0.324379,-0.244244,-0.001976,-0.006652,-0.015713,-0.033943,-0.058328,-0.092012,-4.869780,0.339315,-26.216063,0.147885,-6.695587,-0.079848,-0.124206,-0.023703
0.560000,0.050295,0.075245,0.099959,0.138178,0.164857,0.191019,0.491227,0.089436,0.133099,0.175503,0.240264,0.283224,0.323451,-0.292813,-0.002012,-0.006772,-0.015993,-0.034544,-0.059348,-0.093599,-4.843302,0.349447,-26.208814,0.154387,-6.688737,-0.078663,-0.123533,-0.024190
0.570000,0.051189,0.076576,0.101713,0.140579,0.167686,0.194249,0.488057,0.089416,0.133031,0.175342,0.239915,0.282626,0.322507,-0.341094,-0.002048,-0.006892,-0.016274,-0.035145,-0.060367,-0.095182,-4.812049,0.359790,-26.201484,0.161042,-6.681801,-0.077401,-0.122888,-0.024722
0.580000,0.052083,0.077905,0.103466,0.142976,0.170509,0.197469,0.484406,0.089395,0.132962,0.175178,0.239561,0.282017,0.321548,-0.389038,-0.002083,-0.007011,-0.016555,-0.035744,-0.061383,-0.096760,-4.776052,0.370342,-26.194074,0.167849,-6.674778,-0.076062,-0.122267,-0.025298
0.590000,0.052977,0.079235,0.105217,0.145370,0.173326,0.200679,0.480278,0.089374,0.132891,0.175011,0.239201,0.281398,0.320572,-0.436599,-0.002119,-0.007131,-0.016835,-0.036342,-0.062397,-0.098333,-4.735346,0.381102,-26.186583,0.174808,-6.667670,-0.074647,-0.121670,-0.025922
0.600000,0.053870,0.080563,0.106966,0.147760,0.176137,0.203880,0.475676,0.089353,0.132819,0.174841,0.238834,0.280769,0.319581,-0.483730,-0.002155,-0.007251,-0.017115,-0.036940,-0.063409,-0.099901,-4.689972,0.392067,-26.179011,0.181916,-6.660474,-0.073156,-0.121096,-0.026593
0.610000,0.054764,0.081891,0.108714,0.150147,0.178942,0.207071,0.470605,0.089331,0.132746,0.174668,0.238462,0.280130,0.318574,-0.530383,-0.002191,-0.007370,-0.017394,-0.037537,-0.064419,-0.101465,-4.639974,0.403235,-26.171358,0.189172,-6.653192,-0.071591,-0.120542,-0.027313
0.620000,0.055657,0.083218,0.110460,0.152529,0.181740,0.210252,0.465070,0.089309,0.132671,0.174493,0.238083,0.279481,0.317552,-0.576514,-0.002226,-0.007490,-0.017674,-0.038132,-0.065426,-0.103023,-4.585402,0.414604,-26.163622,0.196574,-6.645822,-0.069953,-0.120008,-0.028083
0.630000,0.056550,0.084545,0.112204,0.154908,0.184531,0.213422,0.459076,0.089287,0.132596,0.174315,0.237699,0.278821,0.316514,-0.622076,-0.002262,-0.007609,-0.017953,-0.038727,-0.066431,-0.104577,-4.526309,0.426173,-26.155802,0.204122,-6.638364,-0.068242,-0.119491,-0.028904
0.640000,0.057443,0.085870,0.113946,0.157283,0.187316,0.216582,0.452630,0.089264,0.132519,0.174134,0.237309,0.278152,0.315460,-0.667025,-0.002298,-0.007728,-0.018231,-0.039321,-0.067434,-0.106125,-4.462754,0.437938,-26.147895,0.211812,-6.630816,-0.066460,-0.118990,-0.029777
0.650000,0.058335,0.087195,0.115686,0.159654,0.190094,0.219731,0.445738,0.089241,0.132441,0.173950,0.236913,0.277473,0.314391,-0.711317,-0.002333,-0.007848,-0.018510,-0.039914,-0.068434,-0.107668,-4.394799,0.449897,-26.139901,0.219644,-6.623178,-0.064607,-0.118503,-0.030703
0.660000,0.059228,0.088519,0.117425,0.162022,0.192865,0.222870,0.438406,0.089217,0.132362,0.173764,0.236511,0.276783,0.313307,-0.754907,-0.002369,-0.007967,-0.018788,-0.040505,-0.069432,-0.109206,-4.322511,0.462047,-26.131814,0.227614,-6.615448,-0.062686,-0.118028,-0.031682
0.670000,0.060120,0.089842,0.119162,0.164385,0.195630,0.225997,0.430642,0.089193,0.132282,0.173574,0.236103,0.276084,0.312207,-0.797753,-0.002405,-0.008086,-0.019066,-0.041096,-0.070427,-0.110739,-4.245961,0.474387,-26.123633,0.235722,-6.607624,-0.060696,-0.117563,-0.032714
0.680000,0.061012,0.091165,0.120896,0.166744,0.198387,0.229114,0.422454,0.089169,0.132201,0.173382,0.235689,0.275375,0.311092,-0.839812,-0.002440,-0.008205,-0.019343,-0.041686,-0.071419,-0.112266,-4.165226,0.486912,-26.115354,0.243965,-6.599705,-0.058640,-0.117106,-0.033800
0.690000,0.061903,0.092486,0.122629,0.169098,0.201137,0.232219,0.413849,0.089144,0.132118,0.173188,0.235269,0.274656,0.309962,-0.881043,-0.002476,-0.008324,-0.019621,-0.042275,-0.072409,-0.113787,-4.080384,0.499620,-26.106973,0.252340,-6.591687,-0.056519,-0.116654,-0.034940
0.700000,0.062794,0.093807,0.124360,0.171449,0.203880,0.235313,0.404836,0.089119,0.132034,0.172990,0.234843,0.273927,0.308817,-0.921406,-0.002512,-0.008443,-0.019898,-0.042862,-0.073397,-0.115303,-3.991520,0.512508,-26.098485,0.260845,-6.583571,-0.054335,-0.116206,-0.036134
0.710000,0.063685,0.095127,0.126089,0.173795,0.206616,0.238395,0.395424,0.089094,0.131949,0.172790,0.234412,0.273188,0.307656,-0.960861,-0.002547,-0.008561,-0.020174,-0.043449,-0.074382,-0.116814,-3.898720,0.525573,-26.089887,0.269478,-6.575352,-0.052088,-0.115759,-0.037381
0.720000,0.064576,0.096446,0.127816,0.176137,0.209344,0.241466,0.385622,0.089068,0.131863,0.172586,0.233974,0.272439,0.306480,-0.999368,-0.002583,-0.008680,-0.020451,-0.044034,-0.075364,-0.118318,-3.802077,0.538812,-26.081172,0.278236,-6.567029,-0.049781,-0.115311,-0.038682
0.730000,0.065467,0.097764,0.129541,0.178475,0.212065,0.244525,0.375440,0.089042,0.131776,0.172381,0.233531,0.271681,0.305290,-1.036890,-0.002619,-0.008799,-0.020727,-0.044619,-0.076343,-0.119817,-3.701685,0.552220,-26.072337,0.287116,-6.558598,-0.047416,-0.114860,-0.040036
0.740000,0.066357,0.099081,0.131263,0.180808,0.214778,0.247572,0.364887,0.089016,0.131687,0.172172,0.233082,0.270912,0.304084,-1.073389,-0.002654,-0.008917,-0.021002,-0.045202,-0.077320,-0.121310,-3.597644,0.565795,-26.063375,0.296116,-6.550058,-0.044995,-0.114404,-0.041441
0.750000,0.067247,0.100398,0.132984,0.183136,0.217483,0.250607,0.353975,0.088989,0.131597,0.171961,0.232627,0.270134,0.302863,-1.108831,-0.002690,-0.009036,-0.021277,-0.045784,-0.078294,-0.122797,-3.490056,0.579533,-26.054281,0.305232,-6.541406,-0.042519,-0.113939,-0.042899
0.760000,0.068137,0.101713,0.134703,0.185460,0.220180,0.253629,0.342714,0.088962,0.131506,0.171746,0.232166,0.269346,0.301628,-1.143179,-0.002725,-0.009154,-0.021552,-0.046365,-0.079265,-0.124278,-3.379028,0.593431,-26.045050,0.314462,-6.532637,-0.039990,-0.113466,-0.044407
0.770000,0.069026,0.103028,0.136419,0.187780,0.222870,0.256639,0.331116,0.088935,0.131414,0.171530,0.231700,0.268549,0.300378,-1.176400,-0.002761,-0.009273,-0.021827,-0.046945,-0.080233,-0.125753,-3.264668,0.607484,-26.035674,0.323801,-6.523751,-0.037412,-0.112980,-0.045964
