time,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001047,0.000000,-0.000000,-0.000000,-0.750021,0.016710,-0.000000,-0.796404,-0.107009,0.736099,-26.569978,0.206080,-6.363182,0.096288,-0.142250,-0.009697
0.020000,0.000003,0.000026,0.000026,0.000017,0.000012,0.000008,0.000009,0.000873,0.005236,0.005236,0.003142,0.002094,0.002094,0.002094,0.752846,0.781503,1.932857,0.126380,-0.669704,1.010463,0.920446,0.614624,-26.323955,0.326770,-6.152854,0.129621,-0.163913,-0.020079
0.040000,0.000094,0.000302,0.000373,0.000244,0.000403,0.000256,0.000298,0.009599,0.022689,0.030369,0.020944,0.039794,0.026180,0.029322,0.769029,2.274983,1.066333,1.967289,3.760195,2.168751,1.071207,0.817083,-24.519785,0.447460,-5.792293,0.185177,-0.033935,0.000684
0.060000,0.000459,0.001021,0.001370,0.000928,0.001670,0.001150,0.001292,0.027053,0.053233,0.071209,0.048171,0.096342,0.068068,0.071209,0.888742,1.314605,2.338446,0.974571,5.888872,3.761128,3.903463,1.060035,-23.535692,0.387115,-5.251451,0.185177,-0.001440,0.083733
0.080000,0.001230,0.002439,0.003265,0.002268,0.004213,0.002996,0.003347,0.049742,0.091630,0.120428,0.086917,0.152891,0.122522,0.129852,3.546592,6.170875,4.705054,0.120407,2.376697,1.642728,6.439342,0.857575,-22.182565,0.296597,-4.890889,0.174066,0.009391,0.042208
0.100000,0.002480,0.004681,0.006295,0.004429,0.008257,0.005931,0.006663,0.076794,0.139626,0.186401,0.127758,0.233525,0.190590,0.219911,3.518538,2.224315,8.155983,2.693597,2.723651,11.345100,20.455924,0.938559,-22.182565,0.296597,-4.920936,0.118510,0.009391,0.073352
0.120000,0.004390,0.007942,0.010727,0.007640,0.014225,0.010270,0.011545,0.116937,0.191986,0.263894,0.182212,0.334056,0.239808,0.297404,5.129963,0.469095,4.906127,0.970826,-11.159036,-24.049971,26.145915,0.898067,-22.264572,0.115563,-5.041123,0.174066,-0.012272,0.083733
0.140000,0.007039,0.012344,0.016717,0.011972,0.022340,0.016189,0.018236,0.155334,0.246091,0.341386,0.248186,0.473333,0.330914,0.360236,0.832092,-0.242931,4.108743,7.336086,24.975405,-17.678905,-13.606340,0.898067,-21.649514,0.387115,-4.470234,0.174066,0.041886,0.125258
0.160000,0.010512,0.017956,0.024440,0.017598,0.032809,0.023857,0.026919,0.198095,0.309796,0.437729,0.309970,0.565487,0.454484,0.463909,3.070715,1.088467,8.462074,3.917312,-21.720540,41.706128,-29.951053,0.776591,-19.968356,0.115563,-4.139720,0.218510,0.020223,0.073352
0.180000,0.014852,0.024852,0.033973,0.024548,0.045784,0.033344,0.037706,0.238237,0.374373,0.524646,0.376991,0.705811,0.516268,0.580147,-0.550935,1.739997,4.397944,-2.523083,-13.190750,-1.734920,-8.271787,0.614624,-19.681329,0.145735,-4.350047,0.174066,0.009391,0.094114
