time,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
1.000000,0.073774,0.356193,0.163309,0.293955,0.273302,0.314311,0.053913,0.034854,0.054976,0.076983,0.102084,0.122394,0.135053,-0.773572,-0.002078,-0.004198,-0.007433,-0.016054,-0.023557,-0.039652,-0.127259,1.335950,-23.718730,0.558766,-5.443197,0.017093,-0.053945,-0.068893
1.010000,0.074470,0.357291,0.164847,0.295993,0.275745,0.317004,0.038416,0.034814,0.054891,0.076835,0.101762,0.121923,0.134257,-0.775774,-0.002001,-0.004242,-0.007380,-0.016186,-0.023598,-0.039949,-0.089139,1.354634,-23.697657,0.568933,-5.427660,0.019581,-0.052770,-0.071563
1.020000,0.075166,0.358388,0.166382,0.298025,0.278178,0.319680,0.022884,0.034774,0.054806,0.076688,0.101437,0.121451,0.133455,-0.777213,-0.001925,-0.004282,-0.007328,-0.016314,-0.023640,-0.040238,-0.050930,1.373360,-23.676514,0.579113,-5.412061,0.022046,-0.051575,-0.074228
1.030000,0.075861,0.359483,0.167914,0.300050,0.280602,0.322340,0.007331,0.034736,0.054720,0.076542,0.101109,0.120977,0.132648,-0.777887,-0.001850,-0.004320,-0.007277,-0.016438,-0.023686,-0.040519,-0.012667,1.392122,-23.655304,0.589301,-5.396401,0.024486,-0.050360,-0.076886
1.040000,0.076556,0.360577,0.169443,0.302069,0.283016,0.324984,-0.008227,0.034700,0.054633,0.076397,0.100780,0.120503,0.131835,-0.777796,-0.001776,-0.004355,-0.007229,-0.016559,-0.023735,-0.040792,0.025611,1.410918,-23.634025,0.599495,-5.380681,0.026897,-0.049128,-0.079532
1.050000,0.077249,0.361669,0.170970,0.304081,0.285421,0.327612,-0.023775,0.034665,0.054546,0.076253,0.100447,0.120028,0.131017,-0.776940,-0.001705,-0.004387,-0.007182,-0.016675,-0.023788,-0.041059,0.063868,1.429745,-23.612681,0.609689,-5.364901,0.029276,-0.047877,-0.082163
1.060000,0.077942,0.362759,0.172493,0.306086,0.287816,0.330223,-0.039297,0.034632,0.054458,0.076109,0.100113,0.119552,0.130193,-0.775318,-0.001635,-0.004416,-0.007139,-0.016788,-0.023846,-0.041318,0.102067,1.448600,-23.591271,0.619882,-5.349064,0.031623,-0.046611,-0.084775
1.070000,0.078634,0.363847,0.174014,0.308085,0.290202,0.332818,-0.054779,0.034600,0.054369,0.075967,0.099776,0.119074,0.129365,-0.772934,-0.001567,-0.004441,-0.007098,-0.016897,-0.023909,-0.041572,0.140171,1.467479,-23.569798,0.630068,-5.333170,0.033932,-0.045329,-0.087366
1.080000,0.079326,0.364933,0.175531,0.310076,0.292578,0.335396,-0.070204,0.034569,0.054280,0.075825,0.099437,0.118595,0.128531,-0.769789,-0.001502,-0.004463,-0.007060,-0.017003,-0.023977,-0.041819,0.178143,1.486379,-23.548263,0.640247,-5.317220,0.036203,-0.044033,-0.089932
1.090000,0.080017,0.366018,0.177046,0.312061,0.294945,0.337957,-0.085558,0.034539,0.054191,0.075684,0.099096,0.118115,0.127693,-0.765885,-0.001438,-0.004482,-0.007025,-0.017105,-0.024052,-0.042060,0.215945,1.505299,-23.526667,0.650412,-5.301216,0.038433,-0.042724,-0.092470
1.100000,0.080708,0.367101,0.178558,0.314040,0.297302,0.340502,-0.100826,0.034511,0.054101,0.075544,0.098753,0.117634,0.126849,-0.761228,-0.001377,-0.004497,-0.006995,-0.017203,-0.024133,-0.042297,0.253542,1.524234,-23.505014,0.660563,-5.285161,0.040620,-0.041403,-0.094977
1.110000,0.081398,0.368182,0.180068,0.316011,0.299649,0.343030,-0.115992,0.034484,0.054011,0.075405,0.098408,0.117150,0.126001,-0.755820,-0.001319,-0.004508,-0.006967,-0.017298,-0.024220,-0.042528,0.290897,1.543183,-23.483303,0.670696,-5.269054,0.042762,-0.040072,-0.097451
1.120000,0.082087,0.369261,0.181574,0.317975,0.301987,0.345540,-0.131042,0.034458,0.053921,0.075266,0.098061,0.116665,0.125149,-0.749668,-0.001263,-0.004516,-0.006944,-0.017390,-0.024315,-0.042756,0.327972,1.562142,-23.461539,0.680807,-5.252899,0.044856,-0.038732,-0.099888
1.130000,0.082776,0.370338,0.183078,0.319933,0.304315,0.348034,-0.145961,0.034434,0.053830,0.075127,0.097713,0.116178,0.124291,-0.742777,-0.001209,-0.004521,-0.006925,-0.017479,-0.024418,-0.042979,0.364733,1.581109,-23.439723,0.690895,-5.236696,0.046901,-0.037384,-0.102286
1.140000,0.083464,0.371414,0.184579,0.321883,0.306633,0.350510,-0.160734,0.034410,0.053740,0.074988,0.097363,0.115688,0.123430,-0.735154,-0.001158,-0.004523,-0.006910,-0.017565,-0.024528,-0.043199,0.401144,1.600083,-23.417858,0.700957,-5.220448,0.048896,-0.036030,-0.104643
1.150000,0.084152,0.372488,0.186077,0.323826,0.308942,0.352969,-0.175346,0.034387,0.053650,0.074850,0.097010,0.115197,0.122564,-0.726806,-0.001110,-0.004521,-0.006900,-0.017648,-0.024646,-0.043417,0.437167,1.619060,-23.395946,0.710990,-5.204156,0.050838,-0.034672,-0.106956
1.160000,0.084840,0.373560,0.187573,0.325763,0.311240,0.355411,-0.189784,0.034365,0.053559,0.074712,0.096657,0.114703,0.121694,-0.717742,-0.001064,-0.004516,-0.006894,-0.017728,-0.024773,-0.043632,0.472770,1.638038,-23.373990,0.720992,-5.187823,0.052727,-0.033309,-0.109223
1.170000,0.085527,0.374630,0.189066,0.327692,0.313529,0.357835,-0.204032,0.034345,0.053469,0.074575,0.096302,0.114206,0.120819,-0.707969,-0.001021,-0.004508,-0.006892,-0.017807,-0.024907,-0.043845,0.507915,1.657016,-23.351992,0.730961,-5.171451,0.054561,-0.031945,-0.111442
1.180000,0.086213,0.375698,0.190556,0.329614,0.315807,0.360242,-0.218078,0.034324,0.053379,0.074437,0.095945,0.113707,0.119940,-0.697498,-0.000981,-0.004497,-0.006895,-0.017883,-0.025050,-0.044056,0.542569,1.675991,-23.329955,0.740895,-5.155041,0.056339,-0.030580,-0.113611
1.190000,0.086900,0.376765,0.192043,0.331529,0.318076,0.362631,-0.231906,0.034305,0.053289,0.074299,0.095586,0.113204,0.119057,-0.686339,-0.000944,-0.004484,-0.006903,-0.017957,-0.025202,-0.044267,0.576697,1.694962,-23.307883,0.750792,-5.138596,0.058060,-0.029216,-0.115729
1.200000,0.087586,0.377830,0.193527,0.333437,0.320335,0.365003,-0.245504,0.034287,0.053199,0.074161,0.095227,0.112699,0.118170,-0.674502,-0.000909,-0.004468,-0.006916,-0.018029,-0.025361,-0.044476,0.610266,1.713928,-23.285777,0.760651,-5.122118,0.059724,-0.027854,-0.117795
1.210000,0.088271,0.378893,0.195009,0.335337,0.322583,0.367356,-0.258857,0.034269,0.053110,0.074022,0.094865,0.112190,0.117279,-0.661999,-0.000877,-0.004450,-0.006933,-0.018100,-0.025529,-0.044686,0.643243,1.732885,-23.263640,0.770470,-5.105608,0.061329,-0.026495,-0.119806
1.220000,0.088956,0.379954,0.196488,0.337231,0.324821,0.369692,-0.271954,0.034251,0.053021,0.073883,0.094503,0.111678,0.116383,-0.648842,-0.000848,-0.004430,-0.006954,-0.018170,-0.025705,-0.044895,0.675594,1.751833,-23.241476,0.780247,-5.089069,0.062876,-0.025141,-0.121762
1.230000,0.089641,0.381013,0.197964,0.339117,0.327049,0.372010,-0.284780,0.034235,0.052933,0.073744,0.094139,0.111162,0.115483,-0.635043,-0.000821,-0.004408,-0.006980,-0.018238,-0.025889,-0.045105,0.707288,1.770771,-23.219287,0.789982,-5.072503,0.064364,-0.023794,-0.123661
1.240000,0.090326,0.382071,0.199437,0.340995,0.329266,0.374309,-0.297323,0.034219,0.052845,0.073604,0.093773,0.110643,0.114579,-0.620618,-0.000797,-0.004385,-0.007010,-0.018306,-0.026081,-0.045316,0.738293,1.789697,-23.197076,0.799673,-5.055912,0.065792,-0.022453,-0.125504
1.250000,0.091010,0.383127,0.200908,0.342867,0.331474,0.376591,-0.309571,0.034203,0.052758,0.073464,0.093407,0.110119,0.113671,-0.605578,-0.000775,-0.004360,-0.007045,-0.018374,-0.026281,-0.045528,0.768578,1.808611,-23.174845,0.809319,-5.039298,0.067161,-0.021121,-0.127288
1.260000,0.091694,0.384181,0.202376,0.344731,0.333670,0.378854,-0.321511,0.034187,0.052671,0.073322,0.093039,0.109592,0.112759,-0.589939,-0.000756,-0.004334,-0.007084,-0.018441,-0.026487,-0.045742,0.798113,1.827510,-23.152598,0.818921,-5.022663,0.068471,-0.019798,-0.129014
1.270000,0.092377,0.385234,0.203841,0.346588,0.335856,0.381099,-0.333133,0.034173,0.052584,0.073180,0.092669,0.109060,0.111842,-0.573717,-0.000740,-0.004307,-0.007126,-0.018508,-0.026700,-0.045957,0.826868,1.846394,-23.130336,0.828476,-5.006009,0.069722,-0.018486,-0.130681
1.280000,0.093061,0.386284,0.205303,0.348437,0.338031,0.383326,-0.344423,0.034158,0.052498,0.073037,0.092298,0.108524,0.110921,-0.556927,-0.000725,-0.004280,-0.007173,-0.018576,-0.026920,-0.046173,0.854814,1.865262,-23.108063,0.837984,-4.989338,0.070915,-0.017185,-0.132289
